Country;Year;Attack Type;Target Industry;Financial Loss (in Million $);Number of Affected Users;Attack Source;Security Vulnerability Type;Defense Mechanism Used;Incident Resolution Time (in Hours)
Brazil;2018;Phishing;Retail;42.46;4136;Nation-state;Zero-day;Encryption;23
Brazil;2020;Ransomware;IT;71.74;3432;Hacker Group;Unpatched Software;AI-based Detection;45
Brazil;2015;Malware;Education;37.54;49473;Insider;Social Engineering;Firewall;51
Brazil;2023;DDoS;Education;50.34;897521;Nation-state;Social Engineering;AI-based Detection;19
Brazil;2015;SQL Injection;IT;47.2;16957;Unknown;Zero-day;Firewall;49
Brazil;2020;SQL Injection;Retail;96.97;466897;Insider;Unpatched Software;VPN;58
Brazil;2024;SQL Injection;Healthcare;41.05;175957;Hacker Group;Zero-day;Antivirus;69
Brazil;2019;SQL Injection;Education;96.6;975019;Unknown;Unpatched Software;Firewall;38
Brazil;2017;Man-in-the-Middle;Retail;17.99;506551;Unknown;Unpatched Software;Antivirus;53
Brazil;2023;SQL Injection;Healthcare;72.9;434510;Hacker Group;Social Engineering;Firewall;72
Brazil;2023;DDoS;Government;42.75;746425;Unknown;Zero-day;VPN;24
Brazil;2021;Ransomware;Government;21.21;570810;Insider;Social Engineering;Firewall;72
Brazil;2024;Man-in-the-Middle;Education;34.42;960625;Nation-state;Weak Passwords;Firewall;48
Brazil;2018;Ransomware;Education;69.04;939146;Nation-state;Zero-day;Firewall;56
Brazil;2016;DDoS;Telecommunications;94.1;838739;Unknown;Social Engineering;VPN;21
Brazil;2020;Phishing;Retail;50.99;826159;Insider;Weak Passwords;VPN;3
Brazil;2017;SQL Injection;Telecommunications;4.35;809757;Nation-state;Social Engineering;VPN;61
Brazil;2019;SQL Injection;Healthcare;46.5;748146;Insider;Weak Passwords;AI-based Detection;13
Brazil;2020;Man-in-the-Middle;Retail;16.26;527964;Insider;Zero-day;Firewall;28
Brazil;2015;Phishing;Banking;29.61;593384;Unknown;Zero-day;Firewall;65
Brazil;2024;DDoS;Healthcare;76.39;782425;Insider;Weak Passwords;Encryption;13
Brazil;2017;DDoS;Healthcare;62.74;460264;Unknown;Social Engineering;Firewall;9
Brazil;2022;SQL Injection;Healthcare;56.63;242677;Insider;Social Engineering;Encryption;21
Brazil;2024;SQL Injection;IT;53.71;680584;Insider;Zero-day;AI-based Detection;5
Brazil;2019;Ransomware;Healthcare;9.32;785564;Insider;Unpatched Software;Antivirus;70
Brazil;2023;Man-in-the-Middle;Retail;59.18;610786;Nation-state;Social Engineering;AI-based Detection;31
Brazil;2019;SQL Injection;Government;24.93;381105;Unknown;Weak Passwords;Encryption;3
Brazil;2015;SQL Injection;IT;86.67;694491;Unknown;Unpatched Software;Firewall;65
Brazil;2015;DDoS;Banking;18.87;976838;Unknown;Weak Passwords;Firewall;65
Brazil;2018;Phishing;Education;57.59;257681;Nation-state;Zero-day;Antivirus;40
Brazil;2020;Malware;Retail;89.71;529588;Nation-state;Weak Passwords;AI-based Detection;65
Brazil;2020;Phishing;Banking;21.65;434936;Hacker Group;Zero-day;Encryption;24
Brazil;2020;Phishing;Banking;34.5;372427;Insider;Weak Passwords;VPN;72
Brazil;2021;Ransomware;Healthcare;67.25;796351;Nation-state;Weak Passwords;AI-based Detection;21
Brazil;2023;SQL Injection;Telecommunications;31.54;839281;Insider;Weak Passwords;Encryption;25
Brazil;2018;SQL Injection;Retail;84.79;99876;Insider;Unpatched Software;Firewall;56
Brazil;2016;Malware;Retail;76.81;670642;Unknown;Unpatched Software;AI-based Detection;10
Brazil;2017;Malware;Telecommunications;6.09;436100;Unknown;Zero-day;Encryption;12
Brazil;2022;Malware;Telecommunications;40.08;459643;Nation-state;Weak Passwords;Antivirus;10
Brazil;2017;Man-in-the-Middle;Healthcare;96.36;596078;Hacker Group;Weak Passwords;Encryption;10
Brazil;2019;Ransomware;Banking;88.63;701522;Insider;Social Engineering;VPN;10
Brazil;2023;Ransomware;Telecommunications;71.4;66852;Hacker Group;Weak Passwords;VPN;58
Brazil;2016;Man-in-the-Middle;Banking;43.45;489853;Nation-state;Zero-day;AI-based Detection;28
Brazil;2024;SQL Injection;Healthcare;69.57;269458;Insider;Zero-day;Firewall;15
Brazil;2024;DDoS;Healthcare;70.0;484101;Hacker Group;Unpatched Software;VPN;9
Brazil;2024;Phishing;Telecommunications;81.54;499671;Hacker Group;Weak Passwords;VPN;4
Brazil;2017;Phishing;IT;26.62;955790;Nation-state;Zero-day;Encryption;44
Brazil;2020;DDoS;Education;26.57;384988;Insider;Zero-day;AI-based Detection;19
Brazil;2016;SQL Injection;Telecommunications;13.94;832297;Nation-state;Weak Passwords;AI-based Detection;69
Brazil;2016;Phishing;Education;9.23;774750;Nation-state;Social Engineering;Firewall;70
Brazil;2015;Malware;IT;74.03;956965;Hacker Group;Unpatched Software;Encryption;40
Brazil;2022;Phishing;IT;26.02;251768;Unknown;Social Engineering;VPN;6
Brazil;2018;DDoS;Healthcare;47.47;784099;Insider;Social Engineering;AI-based Detection;30
Brazil;2022;Malware;IT;4.08;291590;Hacker Group;Zero-day;Antivirus;22
Brazil;2024;Man-in-the-Middle;Healthcare;61.55;218189;Unknown;Weak Passwords;AI-based Detection;48
Brazil;2017;Malware;Telecommunications;73.71;377769;Hacker Group;Zero-day;Firewall;38
Brazil;2021;Phishing;Government;42.82;974362;Insider;Unpatched Software;Encryption;70
Brazil;2024;Malware;IT;83.09;650093;Unknown;Social Engineering;Antivirus;58
Brazil;2021;Man-in-the-Middle;Banking;3.69;566386;Insider;Unpatched Software;Encryption;45
Brazil;2017;Phishing;Government;87.27;767721;Unknown;Weak Passwords;Encryption;9
Brazil;2016;Phishing;Education;97.98;381599;Unknown;Weak Passwords;Encryption;66
Brazil;2017;DDoS;Government;58.67;12372;Nation-state;Social Engineering;Encryption;29
Brazil;2015;Malware;Healthcare;23.01;686119;Insider;Weak Passwords;VPN;25
Brazil;2016;Man-in-the-Middle;Retail;14.04;117819;Nation-state;Zero-day;Antivirus;15
Brazil;2015;Malware;Healthcare;75.72;184554;Unknown;Zero-day;AI-based Detection;39
Brazil;2020;Malware;Government;50.61;294668;Nation-state;Social Engineering;Encryption;17
Brazil;2015;SQL Injection;Healthcare;3.73;445422;Unknown;Unpatched Software;AI-based Detection;70
Brazil;2016;Man-in-the-Middle;Banking;70.89;378949;Unknown;Weak Passwords;AI-based Detection;67
Brazil;2020;Phishing;IT;94.02;581813;Unknown;Social Engineering;Encryption;20
Brazil;2017;DDoS;Government;18.69;131940;Nation-state;Weak Passwords;Antivirus;34
Brazil;2023;Man-in-the-Middle;Education;27.58;171936;Hacker Group;Weak Passwords;VPN;70
Brazil;2022;DDoS;Telecommunications;79.5;789067;Hacker Group;Unpatched Software;Firewall;63
Brazil;2018;Malware;Retail;83.42;538552;Hacker Group;Weak Passwords;AI-based Detection;65
Brazil;2019;SQL Injection;Healthcare;91.03;86583;Unknown;Social Engineering;Firewall;47
Brazil;2024;DDoS;Government;88.79;482307;Hacker Group;Zero-day;Firewall;62
Brazil;2019;DDoS;Government;54.7;615305;Insider;Zero-day;Antivirus;6
Brazil;2024;Ransomware;Retail;68.95;322146;Hacker Group;Social Engineering;Encryption;70
Brazil;2019;SQL Injection;Healthcare;67.42;703282;Insider;Weak Passwords;Encryption;2
Brazil;2021;Man-in-the-Middle;Banking;81.68;893986;Insider;Unpatched Software;Firewall;47
Brazil;2024;Man-in-the-Middle;Healthcare;26.92;695427;Nation-state;Zero-day;Encryption;28
Brazil;2021;Malware;Banking;34.68;786462;Unknown;Weak Passwords;Firewall;17
Brazil;2018;SQL Injection;Education;52.7;861075;Hacker Group;Social Engineering;Encryption;7
Brazil;2017;DDoS;Education;29.76;913276;Insider;Social Engineering;Encryption;57
Brazil;2019;Phishing;Government;70.6;817268;Nation-state;Zero-day;VPN;1
Brazil;2024;Malware;Government;78.97;724903;Unknown;Weak Passwords;Encryption;53
Brazil;2016;Phishing;Education;97.45;267789;Insider;Weak Passwords;Encryption;26
Brazil;2017;Man-in-the-Middle;Government;68.03;403770;Hacker Group;Weak Passwords;Encryption;22
Brazil;2021;SQL Injection;Banking;50.61;772512;Hacker Group;Weak Passwords;Encryption;42
Brazil;2015;Man-in-the-Middle;Banking;74.27;551388;Unknown;Unpatched Software;Encryption;51
Brazil;2020;SQL Injection;Banking;68.05;912770;Unknown;Zero-day;AI-based Detection;67
Brazil;2022;Man-in-the-Middle;Healthcare;40.94;987320;Unknown;Zero-day;AI-based Detection;44
Brazil;2015;Phishing;Healthcare;84.83;794914;Insider;Social Engineering;Firewall;34
Brazil;2019;DDoS;Telecommunications;36.98;198563;Hacker Group;Social Engineering;Firewall;24
Brazil;2017;Phishing;Retail;3.18;520654;Nation-state;Social Engineering;VPN;53
Brazil;2017;DDoS;Telecommunications;34.79;724790;Hacker Group;Unpatched Software;Firewall;64
Brazil;2022;Malware;IT;19.26;377446;Unknown;Zero-day;AI-based Detection;12
Brazil;2024;Malware;Healthcare;50.71;964191;Unknown;Weak Passwords;VPN;36
Brazil;2018;SQL Injection;Retail;36.63;829742;Insider;Unpatched Software;Firewall;57
Brazil;2017;DDoS;IT;72.48;860625;Unknown;Zero-day;Firewall;4
Brazil;2021;SQL Injection;Retail;1.32;564277;Nation-state;Weak Passwords;Firewall;1
Brazil;2020;SQL Injection;Education;50.41;350295;Insider;Unpatched Software;Encryption;5
Brazil;2018;Malware;Telecommunications;96.22;445546;Nation-state;Weak Passwords;Firewall;45
Brazil;2023;SQL Injection;Healthcare;7.33;486146;Insider;Zero-day;Firewall;12
Brazil;2019;Ransomware;Telecommunications;87.41;919425;Nation-state;Unpatched Software;Encryption;45
Brazil;2017;Ransomware;Healthcare;54.78;469735;Nation-state;Zero-day;Encryption;57
Brazil;2018;Malware;Banking;87.13;99178;Nation-state;Unpatched Software;Antivirus;27
Brazil;2024;Ransomware;Education;80.1;489369;Nation-state;Unpatched Software;Encryption;41
Brazil;2024;DDoS;Retail;25.17;658226;Insider;Weak Passwords;VPN;52
Brazil;2018;Malware;Banking;3.1;458185;Insider;Social Engineering;AI-based Detection;31
Brazil;2022;Man-in-the-Middle;Education;91.69;581034;Insider;Social Engineering;VPN;67
Brazil;2024;Phishing;IT;28.78;793783;Insider;Social Engineering;Firewall;17
Brazil;2017;Ransomware;Government;58.18;824704;Hacker Group;Zero-day;Antivirus;30
Brazil;2017;Phishing;IT;81.04;850794;Unknown;Social Engineering;Antivirus;69
Brazil;2016;Malware;Education;83.93;102797;Unknown;Weak Passwords;Firewall;17
Brazil;2022;Ransomware;Retail;1.42;510870;Unknown;Unpatched Software;AI-based Detection;35
Brazil;2016;DDoS;IT;13.52;535205;Hacker Group;Social Engineering;AI-based Detection;53
Brazil;2017;Ransomware;Healthcare;32.9;433987;Unknown;Zero-day;AI-based Detection;21
Brazil;2021;Malware;Education;74.37;298836;Hacker Group;Social Engineering;Encryption;29
Brazil;2018;Malware;Retail;27.82;526161;Unknown;Unpatched Software;AI-based Detection;12
Brazil;2020;Phishing;Government;76.95;476308;Insider;Social Engineering;VPN;44
Brazil;2024;Phishing;IT;72.33;182613;Unknown;Unpatched Software;AI-based Detection;26
Brazil;2022;SQL Injection;Banking;5.85;52649;Nation-state;Unpatched Software;Encryption;57
Brazil;2021;DDoS;Retail;89.79;454088;Hacker Group;Social Engineering;VPN;70
Brazil;2018;Malware;Banking;31.56;940038;Hacker Group;Zero-day;Antivirus;24
Brazil;2018;Phishing;Education;66.07;656031;Nation-state;Social Engineering;Encryption;36
Brazil;2015;SQL Injection;Banking;89.39;988268;Unknown;Zero-day;VPN;44
Brazil;2024;Ransomware;Government;57.7;691990;Insider;Weak Passwords;Antivirus;41
Brazil;2018;Ransomware;Healthcare;4.51;909979;Nation-state;Social Engineering;VPN;65
Brazil;2017;Man-in-the-Middle;Government;14.54;491794;Nation-state;Zero-day;Encryption;4
Brazil;2018;Malware;Banking;17.52;334945;Nation-state;Weak Passwords;Antivirus;33
Brazil;2021;Ransomware;Government;72.14;673933;Unknown;Zero-day;AI-based Detection;22
Brazil;2023;Phishing;IT;23.01;195113;Unknown;Unpatched Software;Encryption;4
Brazil;2022;Man-in-the-Middle;Retail;89.11;749386;Unknown;Unpatched Software;Firewall;16
Brazil;2024;SQL Injection;IT;33.94;88304;Nation-state;Zero-day;Encryption;41
Brazil;2019;Malware;Government;4.95;281096;Nation-state;Zero-day;AI-based Detection;2
Brazil;2020;SQL Injection;Education;85.12;732802;Nation-state;Weak Passwords;Antivirus;62
Brazil;2021;Malware;Government;79.56;334916;Nation-state;Weak Passwords;Firewall;35
Brazil;2019;Malware;IT;8.31;989421;Unknown;Zero-day;Firewall;46
Brazil;2021;SQL Injection;Banking;4.34;258021;Hacker Group;Unpatched Software;Encryption;46
Brazil;2023;SQL Injection;Healthcare;76.58;626352;Hacker Group;Social Engineering;Encryption;33
Brazil;2024;Ransomware;Healthcare;60.13;887531;Hacker Group;Social Engineering;Encryption;51
Brazil;2023;Ransomware;Healthcare;30.45;480773;Hacker Group;Weak Passwords;Encryption;52
Brazil;2017;Man-in-the-Middle;Education;67.55;287646;Nation-state;Social Engineering;VPN;68
Brazil;2020;SQL Injection;Education;62.72;827349;Nation-state;Unpatched Software;VPN;68
Brazil;2019;DDoS;Education;44.51;119319;Nation-state;Zero-day;Firewall;9
Brazil;2019;Malware;IT;54.26;883977;Nation-state;Unpatched Software;Antivirus;47
Brazil;2019;Phishing;Retail;35.61;43771;Nation-state;Zero-day;Encryption;49
Brazil;2020;DDoS;Healthcare;53.42;545588;Insider;Unpatched Software;Antivirus;54
Brazil;2016;Ransomware;Education;5.51;740421;Unknown;Social Engineering;Encryption;59
Brazil;2020;Malware;Telecommunications;23.21;850214;Unknown;Social Engineering;Antivirus;45
Brazil;2015;Ransomware;Banking;63.14;545908;Insider;Social Engineering;AI-based Detection;2
Brazil;2016;Man-in-the-Middle;Education;19.59;647998;Insider;Weak Passwords;AI-based Detection;38
Brazil;2015;Malware;Healthcare;88.08;905770;Nation-state;Zero-day;VPN;9
Brazil;2021;Ransomware;Education;18.11;849791;Nation-state;Unpatched Software;VPN;53
Brazil;2023;SQL Injection;Telecommunications;30.28;892843;Hacker Group;Zero-day;VPN;26
Brazil;2017;SQL Injection;IT;32.97;734737;Nation-state;Weak Passwords;AI-based Detection;30
